#,Username,Display Name,Tier,Channels Count,Specialty / Focus
29,@joee_ads,Joee Ads (جو),Tier 3 (مباشرة ومسوقون),+4 قنوات,تسويق قنوات وتبادل إعلاني
30,@AdsSafwat,Safwat Ads (صفوت),Tier 3 (مباشرة ومسوقون),+4 قنوات,إدارة إعلانات تجارية وتمويل
31,@Emanads000,Eman Ads 2,Tier 3 (مباشرة ومسوقون),+4 قنوات,حساب استقبال إعلانات فرعي
32,@faridaads,Farida Ads 2,Tier 3 (مباشرة ومسوقون),+4 قنوات,حساب فرعي لفريدة إعلانات
33,@Mairaads,Maira Ads (مايرا),Tier 3 (مباشرة ومسوقون),+4 قنوات,ترويج ونشر وتبادل قنوات
34,@lina_bnm,Lina (لينا),Tier 3 (مباشرة ومسوقون),+3 قنوات,تبادل إعلاني وتوجيه منشورات
35,@mai_promoter,Mai Promoter (مي),Tier 3 (مباشرة ومسوقون),+3 قنوات,بروموشن وزيادة مشاهدات وتفاعل
36,@abdo0o0o0oo,Abdo Ads (عبده),Tier 3 (مباشرة ومسوقون),+3 قنوات,إدارة إعلانات قنوات
37,@MohammedAds33,Mohammed Ads 33,Tier 3 (مباشرة ومسوقون),+3 قنوات,ترويج قنوات تداول
38,@AesyGul,Aesy Gul,Tier 3 (مباشرة ومسوقون),+3 قنوات,تبادل نشر وتفاعل
39,@Maha2210,Maha Ads (مها),Tier 3 (مباشرة ومسوقون),+3 قنوات,مسؤولة تبادل إعلاني
40,@Elsaidd22,Elsaid Ads (السيد),Tier 3 (مباشرة ومسوقون),+3 قنوات,إعلانات وتمويل قنوات
41,@uniqads2,Uniq Ads,Tier 3 (مباشرة ومسوقون),+3 قنوات,خدمات ترويج قنوات
42,@Meromero3131,Mero Mero (ميرو),Tier 3 (مباشرة ومسوقون),+3 قنوات,تبادل ونشر قنوات
43,@mayar_medhat1012,Mayar Medhat (ميار),Tier 3 (مباشرة ومسوقون),+3 قنوات,مسؤولة إعلانات قنوات
44,@Abou_yaqoub,Abou Yaqoub (أبو يعقوب),Tier 3 (مباشرة ومسوقون),+3 قنوات,إدارة قنوات وتواصل إعلاني
45,@EmaAds,Ema Ads (إيما),Tier 3 (مباشرة ومسوقون),+3 قنوات,ترويج وتبادل قنوات
46,@Stateuntied_ads,Stateunited Ads,Tier 3 (مباشرة ومسوقون),+2 قنوات,إعلانات قنوات متنوعة
47,@Khaled_ads,Khaled Ads (خالد),Tier 3 (مباشرة ومسوقون),+2 قنوات,شراء مساحات إعلانية
48,@malak_ads22,Malak Ads 22 (ملك),Tier 3 (مباشرة ومسوقون),+2 قنوات,تبادل إعلاني وتزويد متابعين
49,@Maya_ADS1,Maya Ads (مايا),Tier 3 (مباشرة ومسوقون),+2 قنوات,إعلانات وترويج قنوات
50,@Node231,Node Ads (نود),Tier 3 (مباشرة ومسوقون),+2 قنوات,تبادل نشر وتوجيه
51,@Dododede23,Dodo Dede (دودو),Tier 3 (مباشرة ومسوقون),+2 قنوات,إعلانات قنوات تفاعلية
52,@Malaaaakads,Malak Ads (ملاك),Tier 3 (مباشرة ومسوقون),+2 قنوات,مسؤولة تبادل قنوات
53,@Mohamedben392,Mohamed Ben,Tier 3 (مباشرة ومسوقون),+2 قنوات,إدارة وتنسيق قنوات
54,@Ggfigt,Ggfigt Ads,Tier 3 (مباشرة ومسوقون),+2 قنوات,تبادل قنوات
55,@zeyad3112,Zeyad Ads (زياد),Tier 3 (مباشرة ومسوقون),+2 قنوات,ميديا باير وترويج
56,@ADSONLYF,Ads Only Official,Tier 3 (مباشرة ومسوقون),+2 قنوات,حساب مخصص للإعلانات فقط
